id_oportunidade,cod_interno,data_criacao,mes,operacao,tipologia,comercial,estado,origem_contacto,imoveis_consultados,tem_visita,projetos
123,40843057,2026-07-07,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00016,0,Santos Pousada
125,40845566,2026-07-07,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"N1.6,34869552",0,Prime Living;Douro Nobilis
126,40845567,2026-07-07,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
127,40845762,2026-07-07,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
129,40846070,2026-07-07,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
130,40847311,2026-07-07,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
131,40847573,2026-07-07,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,"N1.6,YR00024,34878517,YR00004",0,Prime Living;Jardins da Seara
134,40851694,2026-07-08,2026-07,arrendamento,T1,Joana,Cliente do Portal,imovirtual.com,N1.6,0,Prime Living
135,40854781,2026-07-08,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
136,40862458,2026-07-08,2026-07,venda,T1,Sandra,Cliente do Portal,idealista.com,YR00017,0,Oporto Luxury
137,40862673,2026-07-08,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,"YR00019,YR00011",0,White Tower
138,40862789,2026-07-08,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"34878517,N1.6,YR00013,YR00062,YR00001,34869552",0,Jardins da Seara;Prime Living;Douro Nobilis
139,40866686,2026-07-08,2026-07,arrendamento,T2,Sandra,Cliente do Portal,imovirtual.com,34878363,0,Jardins da Seara
142,40869445,2026-07-09,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35055141,0,Riverline
143,40871948,2026-07-09,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,34878363,0,Jardins da Seara
144,40876885,2026-07-09,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,"YR00001,YR00006",0,Douro Nobilis;Prime Living
145,40876886,2026-07-09,2026-07,venda,T2,Joana,Cliente do Portal,idealista.com,YR00026,0,Jardins da Seara
146,40877298,2026-07-09,2026-07,venda,T2,Sandra,Cliente do Portal,idealista.com,YR00027,0,Prime Living
148,40879327,2026-07-09,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
150,40880985,2026-07-09,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"34878517,YR00024",0,Jardins da Seara
152,40882105,2026-07-10,2026-07,arrendamento,T2,Sandra,Cliente do Portal,imovirtual.com,YR00024,0,Jardins da Seara
154,40886763,2026-07-10,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,YR00024,0,Jardins da Seara
155,40889651,2026-07-10,2026-07,venda,T2,Sandra,Cliente do Portal,idealista.com,34957181,0,Jardins da Seara
156,40890839,2026-07-10,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00024,0,Jardins da Seara
159,40896336,2026-07-11,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35073131,0,White Tower
160,40897230,2026-07-11,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
161,40897309,2026-07-11,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
162,40897487,2026-07-12,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00016,0,Santos Pousada
164,40899496,2026-07-12,2026-07,venda,T0,Eugénia,Cliente do Portal,idealista.com,34246326,0,
165,40901299,2026-07-12,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00016,0,Santos Pousada
166,40906167,2026-07-13,2026-07,arrendamento,T3,Sandra,Cliente do Portal,imovirtual.com,35030596,0,Riverline
167,40908945,2026-07-13,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
168,40910962,2026-07-13,2026-07,venda,T2,Joana,Cliente do Portal,idealista.com,YR00027,0,Prime Living
171,40912995,2026-07-13,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
172,40912996,2026-07-13,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
173,40913215,2026-07-13,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
176,40915319,2026-07-13,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35073131,0,White Tower
177,40915425,2026-07-13,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
179,40916678,2026-07-13,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"YR00024,35073131,YR00006",0,Jardins da Seara;White Tower;Prime Living
181,40917425,2026-07-13,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
182,40917919,2026-07-13,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
183,40918185,2026-07-13,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,N1.6,0,Prime Living
185,40918224,2026-07-13,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
187,40918387,2026-07-13,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
188,40918388,2026-07-13,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,N1.6,0,Prime Living
190,40918526,2026-07-14,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,N1.6,0,Prime Living
191,40918567,2026-07-14,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
196,41090569,2026-07-14,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
197,41090659,2026-07-14,2026-07,venda,T2,Sandra,À procura,Referência de cliente,,0,
198,41144948,2026-07-14,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,YR00033,0,
201,41149073,2026-07-14,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
202,41150526,2026-07-14,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
203,41150721,2026-07-14,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,YR00033,0,
205,41150824,2026-07-14,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
206,41151515,2026-07-15,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,YR00033,0,
207,41151574,2026-07-15,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"YR00024,34878517",0,Jardins da Seara
209,41153497,2026-07-15,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
210,41155062,2026-07-15,2026-07,arrendamento,T1,Joana,Cliente do Portal,imovirtual.com,N1.6,0,Prime Living
212,41156174,2026-07-15,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
214,41158027,2026-07-15,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"YR00024,34878517,YR00029,YR00006,34869552,YR00001,YR00055,YR00054",0,Jardins da Seara;Prime Living;Douro Nobilis
215,41158473,2026-07-15,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
217,41158536,2026-07-15,2026-07,venda,T0,Eugénia,Cliente do Portal,idealista.com,34469800,0,
219,41162317,2026-07-15,2026-07,arrendamento,T0,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
220,41162574,2026-07-15,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35055141,0,Riverline
221,41163037,2026-07-15,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
222,41168227,2026-07-16,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
223,41168352,2026-07-16,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
224,41171469,2026-07-16,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
225,41171678,2026-07-16,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
227,41172158,2026-07-16,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,YR00024,0,Jardins da Seara
229,41175032,2026-07-17,2026-07,arrendamento,T0,Eugénia,Cliente do Portal,idealista.com,YR00033,0,
230,41175319,2026-07-17,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
231,41175368,2026-07-17,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00024,0,Jardins da Seara
233,41181471,2026-07-17,2026-07,arrendamento,T1,Teresa,Cliente do Portal,idealista,N1.6,0,Prime Living
234,41181928,2026-07-17,2026-07,venda,T0,Joana,Cliente do Portal,idealista.com,34674607,0,
235,41181985,2026-07-17,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,YR00024,0,Jardins da Seara
236,41182600,2026-07-17,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
237,41186084,2026-07-18,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
239,41188185,2026-07-18,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,34869552,0,Douro Nobilis
240,41189476,2026-07-18,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
241,41190508,2026-07-18,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00024,0,Jardins da Seara
244,41193510,2026-07-19,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"YR00022,YR00028,YR00029,YR00006",0,Jardins da Seara;Prime Living
245,41194973,2026-07-19,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
247,41195374,2026-07-19,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,35040552,0,Douro Nobilis
248,41195620,2026-07-19,2026-07,arrendamento,T0,Joana,Cliente do Portal,idealista.com,YR00033,0,
249,41196048,2026-07-19,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
251,41223900,2026-07-20,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"YR00022,YR00029",0,Jardins da Seara
252,41225514,2026-07-20,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,4.7,0,Riverline
254,41226190,2026-07-20,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"YR00022,YR00054",0,Jardins da Seara;Prime Living
255,41228558,2026-07-20,2026-07,venda,T0,Joana,Cliente do Portal,idealista.com,"34246326,YR00040",0,Haizea
256,41229361,2026-07-20,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,35073131,0,White Tower
257,41229455,2026-07-20,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,35073131,0,White Tower
258,41233779,2026-07-21,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,YR00022,0,Jardins da Seara
259,41234300,2026-07-21,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
260,41234585,2026-07-21,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,35073131,0,White Tower
262,41236959,2026-07-21,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,N1.6,0,Prime Living
264,41239392,2026-07-21,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,Broker circulo pessoal,YR00019,0,
265,41239549,2026-07-21,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
267,41241336,2026-07-21,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,35040552,0,Douro Nobilis
268,41244570,2026-07-21,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00022,0,Jardins da Seara
269,41245122,2026-07-21,2026-07,arrendamento,T0,Sandra,Cliente do Portal,idealista.com,YR00033,0,
270,41245875,2026-07-21,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,"YR00019,YR00023",0,Jardins da Seara
272,41246354,2026-07-21,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
273,41249843,2026-07-22,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
275,41258750,2026-07-22,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,34869552,0,Douro Nobilis
276,41261148,2026-07-22,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,"YR00019,YR00024",0,Jardins da Seara
277,41261149,2026-07-22,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
279,41272969,2026-07-23,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00019,0,
280,41275742,2026-07-23,2026-07,arrendamento,T2,Teresa,Cliente do Portal,imovirtual.com,YR00022,0,Jardins da Seara
282,41277954,2026-07-24,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,YR00024,0,Jardins da Seara
283,41279081,2026-07-24,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00016,0,Santos Pousada
284,41279464,2026-07-24,2026-07,venda,T0,Eugénia,Cliente do Portal,idealista.com,34246326,0,
286,41283284,2026-07-24,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,YR00029,0,Jardins da Seara
287,41283285,2026-07-24,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00006,0,Prime Living
288,41283482,2026-07-24,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00006,0,Prime Living
289,41284355,2026-07-24,2026-07,arrendamento,T2,Teresa,Cliente do Portal,idealista.com,YR00011,0,White Tower
290,41284357,2026-07-24,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,YR00006,0,Prime Living
291,41285057,2026-07-24,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00029,0,Jardins da Seara
293,41287280,2026-07-24,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,imovirtual.com,4.7,0,Riverline
294,41288393,2026-07-24,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"YR00006,YR00055,YR00054",0,Prime Living
296,41289943,2026-07-24,2026-07,venda,T2,Joana,Cliente do Portal,idealista.com,YR00027,0,Prime Living
298,41291063,2026-07-24,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,imovirtual.com,34878517,0,Jardins da Seara
299,41291085,2026-07-24,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"YR00006,YR00055,YR00054",0,Prime Living
300,41291513,2026-07-25,2026-07,arrendamento,T3,Sandra,Cliente do Portal,imovirtual.com,"YR00028,YR00006",0,Jardins da Seara;Prime Living
302,41292389,2026-07-25,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"YR00006,4.2",0,Prime Living;Riverline
303,41292720,2026-07-25,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00006,0,Prime Living
305,41296544,2026-07-25,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,"34869552,YR00006",0,Douro Nobilis;Prime Living
306,41296761,2026-07-25,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"34869552,YR00006",0,Douro Nobilis;Prime Living
307,41296874,2026-07-25,2026-07,venda,T0,Sandra,Cliente do Portal,idealista.com,34674607,0,
308,41296888,2026-07-25,2026-07,venda,T0,Teresa,Cliente do Portal,idealista.com,34674607,0,
309,41297828,2026-07-26,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,YR00006,0,Prime Living
311,41302626,2026-07-26,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,YR00006,0,Prime Living
312,41303227,2026-07-26,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,YR00006,0,Prime Living
313,41303326,2026-07-26,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"YR00006,YR00011",0,Prime Living;White Tower
315,41306609,2026-07-27,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,YR00006,0,Prime Living
316,41306760,2026-07-27,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,"YR00024,YR00006",0,Jardins da Seara;Prime Living
317,41307751,2026-07-27,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,YR00024,0,Jardins da Seara
318,41311109,2026-07-27,2026-07,arrendamento,T2,Sandra,Cliente do Portal,imovirtual.com,YR00024,0,Jardins da Seara
319,41312614,2026-07-27,2026-07,arrendamento,T2,Teresa,Cliente do Portal,imovirtual.com,"YR00024,YR00004",0,Jardins da Seara;Prime Living
320,41314243,2026-07-27,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,idealista.com,YR00028,0,Jardins da Seara
321,41314420,2026-07-27,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"YR00006,YR00024,YR00029,YR00028",0,Prime Living;Jardins da Seara
325,41319370,2026-07-27,2026-07,arrendamento,T2,Joana,Cliente do Portal,imovirtual.com,"YR00006,YR00054,YR00055,35040552",0,Prime Living;Douro Nobilis
326,41319428,2026-07-27,2026-07,arrendamento,T3,Eugénia,Cliente do Portal,imovirtual.com,YR00019,0,
